,time,memory,cpu_power,freq_E,freq_P,GPU_freq,E-residency,P-residency,GPU_power,frame_rate,Mono
0,309.27,10960,1818.47,1444.47,2487.78,1086.79,81.936,40.3092,8450.01,116.38,1.81847
1,304.4,10992,4992.2,1888.28,3703.65,1135.6,56.052,94.6737,8206.47,116.5,4.9921999999999995
2,304.47,11008,1653.59,1423.56,2499.95,1137.87,83.6894,37.5748,8948.15,116.43,1.65359
3,304.34,10560,4715.97,1778.16,3705.43,1127.34,44.4836,94.6047,8677.12,116.52,4.71597
4,304.42,10976,1698.02,1443.97,2633.51,1142.81,82.8472,35.737,7852.38,116.59,1.69802
5,304.37,10720,4717.01,1651.21,3706.83,1172.98,49.6585,94.5093,8113.36,116.49,4.71701
6,304.41,11008,1689.87,1534.7,2582.54,1137.89,80.9759,36.5658,8890.82,116.36,1.68987
7,304.45,11136,4712.1,1767.05,3704.48,1123.32,44.6951,94.5829,8740.03,116.5,4.7121
8,304.44,10800,1700.53,1461.4,2640.91,1125.77,82.6618,35.8248,8594.22,116.42,1.7005299999999999
9,304.38,11040,4707.65,1706.95,3704.97,1132.33,46.9439,94.5761,7113.21,116.51,4.707649999999999
10,304.43,11184,1720.89,1444.99,2682.28,1157.95,83.4388,35.5467,7652.64,116.5,1.72089
11,304.36,10944,4701.81,1642.8,3706.01,1144.3,49.0022,94.5695,7795.69,116.45,4.70181
12,304.44,10928,1708.12,1444.82,2664.06,1154.44,83.1191,36.0327,7410.84,116.52,1.7081199999999999
13,304.32,10960,4803.88,1674.4,3704.65,1150.03,57.5509,94.563,6283.67,116.49,4.80388
14,304.44,10736,1644.59,1423.96,2589.82,1149.33,82.8872,36.2288,7803.91,116.41,1.64459
15,304.32,11088,4723.82,1643.66,3706.03,1137.25,48.442,94.5781,7750.79,116.54,4.72382
16,304.47,10848,1645.17,1403.69,2462.23,1140.28,83.5724,38.1375,8870.86,116.52,1.64517
17,304.41,11008,4754.08,1634.5,3705.77,1141.16,47.5423,94.6054,7959.35,116.56,4.75408
18,304.45,10992,1689.44,1402.7,2666.28,1132.44,83.1632,36.2294,7386.58,116.54,1.68944
19,304.4,10592,4771.23,1743.31,3705.21,1125.58,45.6501,94.5818,8008.59,116.57,4.771229999999999
20,304.41,11136,1612.29,1393.67,2450.11,1136.76,83.6639,37.9094,8567.6,116.52,1.61229
21,304.35,10704,4772.09,1810.91,3704.49,1125.86,45.3138,94.577,8780.0,116.42,4.77209
22,304.44,10784,1686.29,1530.57,2560.05,1135.02,80.6619,36.7223,8959.27,116.44,1.68629
23,304.34,10944,4766.98,1754.26,3704.73,1131.88,46.2974,94.5927,8578.37,116.49,4.766979999999999
24,304.48,11056,1626.11,1551.91,2296.81,1220.99,82.4493,39.8893,8381.64,116.69,1.62611
25,304.39,11152,4878.43,1930.29,3703.88,1136.74,52.0572,94.5221,8198.51,116.61,4.878430000000001
26,304.41,11040,1607.11,1560.68,2269.87,1294.02,82.8558,38.2531,7677.98,116.74,1.6071099999999998
27,304.39,10784,4736.69,1580.62,3697.2,1177.93,55.2256,94.4029,7996.0,116.65,4.736689999999999
28,304.44,10544,1627.98,1574.47,2318.38,1236.99,82.2141,38.7014,8103.78,116.62,1.62798
29,304.35,10672,4661.71,1890.88,3704.75,1271.3,51.1661,94.0178,6609.31,116.65,4.66171
